evidence_id,case_id,event_type,performed_by,timestamp,storage_location,integrity_status
BID-2026-8498-EV-0001,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0002,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0003,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0004,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0005,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0006,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0007,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0008,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0009,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0010,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0011,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0012,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0013,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0014,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0015,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0016,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0017,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0018,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0019,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0020,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0021,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0022,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0023,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0024,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0025,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
BID-2026-8498-EV-0026,BID-2026-8498,Collected,Analyst Team Delta,2026-07-24T18:14:07Z,evidence/BID-2026-8498,Verified
