evidence_id,case_id,event_type,performed_by,timestamp,storage_location,integrity_status
BID-2026-9421-EV-0001,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0002,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0003,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0004,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0005,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0006,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0007,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0008,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0009,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0010,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0011,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0012,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0013,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0014,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0015,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0016,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
BID-2026-9421-EV-0017,BID-2026-9421,Collected,Analyst Team Delta,2026-07-23T15:53:05Z,evidence/BID-2026-9421,Verified
