evidence_id,case_id,event_type,performed_by,timestamp,storage_location,integrity_status
BID-2026-3308-EV-0001,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0002,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0003,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0004,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0005,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0006,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0007,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0008,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0009,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0010,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0011,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0012,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0013,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
BID-2026-3308-EV-0014,BID-2026-3308,Collected,Analyst Team Delta,2026-07-29T01:35:27Z,evidence/BID-2026-3308,Verified
